student_id,dropout_probability,flagged_at_risk
c8976d2fd5c9,0.795,True
7b8a37d6ba34,0.793,True
0068835b0e8f,0.793,True
5322e7d94392,0.792,True
49606c3169cd,0.792,True
ec828b055bee,0.791,True
1ce8a977df53,0.791,True
cc963825fcfa,0.791,True
989fa04275d6,0.79,True
d3bcbec2eae4,0.785,True
329743103fca,0.784,True
608644983b3f,0.783,True
7028ccac6c85,0.781,True
e2d38364617a,0.781,True
d6091d9c8fe7,0.781,True
5fe34512924e,0.78,True
7e25a84d611f,0.78,True
2afb541a9d60,0.78,True
290501ae9752,0.779,True
232636aefb14,0.779,True
7a03f1e3fc09,0.779,True
ce2762e18fba,0.778,True
d084bd8f8fcf,0.778,True
203d2c1463ef,0.777,True
d066fdda38f2,0.777,True
18f92abb5b1c,0.774,True
5237df75730b,0.773,True
90ed6f643e38,0.772,True
e5ca7e8a9c54,0.772,True
3bf9d446ba5f,0.771,True
7c6a0058148b,0.771,True
ff27d0a07fb0,0.769,True
d740efbbb003,0.769,True
1f975cdc9291,0.768,True
dfaba2781d27,0.768,True
6919efa9671f,0.767,True
e14c71689a66,0.767,True
6a4fc6644559,0.767,True
e703a6e83879,0.767,True
80eddf8f8c5f,0.766,True
a0120d479402,0.766,True
077a55df8628,0.766,True
fd96a74f729d,0.766,True
bf7b43585e95,0.766,True
b3a0dc771a11,0.765,True
9d3554d81d87,0.765,True
94ceca0a35d4,0.765,True
9bd8b1c0b1b9,0.765,True
3b9d973a17af,0.764,True
8b7061e73d7d,0.764,True
dd26af56d68f,0.764,True
eee476dd1304,0.764,True
3ff1ad4a2b33,0.764,True
b185d9f3a509,0.763,True
d6eca8ca488b,0.763,True
4cb9a11f940a,0.763,True
c8efe6018aa9,0.762,True
914d6b4c5ab4,0.762,True
e6f4386ca41d,0.762,True
4eea2ac33110,0.761,True
78af284167cc,0.761,True
c3fb9b3159a5,0.761,True
77a9599505b5,0.761,True
5ceaded610b7,0.76,True
65f3414d1363,0.76,True
299a17a05439,0.76,True
7bcad3ac2017,0.76,True
5bb8954510e3,0.76,True
9339827e3ec3,0.76,True
cff5151aee3e,0.76,True
86ed2ec595fc,0.76,True
2d6f03add347,0.76,True
06830b1109e9,0.76,True
7a47ef02f251,0.76,True
62a015d3b64e,0.759,True
aaf4baaf80a1,0.759,True
daffcc4be0b5,0.759,True
64f897428fe3,0.759,True
5e88f5af56ce,0.758,True
85bf6f3be0c3,0.758,True
b534c940c89c,0.757,True
b79cd2bd8b48,0.757,True
81e9592d14f7,0.756,True
cf09d195bc88,0.755,True
beddb22d15aa,0.755,True
e9aa7e2c3539,0.754,True
fbbc14992686,0.754,True
04adcbe8fa3a,0.754,True
e9467f2b6cec,0.753,True
fe04da39ae67,0.753,True
b9d0da97d86d,0.753,True
fd3e9f925937,0.753,True
c4b2da463e7e,0.753,True
d46b7beda6c7,0.753,True
97d9babaf278,0.752,True
498b4dbfab89,0.752,True
b12660071b8e,0.752,True
35f409cf38f8,0.752,True
8edba8396154,0.752,True
e7243cfb4557,0.752,True
209083f4097a,0.752,True
76bc8c427e59,0.752,True
15acd52c9f3d,0.752,True
a1e5533ddc2f,0.752,True
a53ef11b8a29,0.752,True
34440148f2b0,0.752,True
7ce44b073b74,0.751,True
47f362f7e694,0.751,True
7257864e627f,0.751,True
0fb4ba6de889,0.751,True
0563ca231126,0.75,True
4e21f5171499,0.75,True
c1fd94ec6541,0.75,True
7b26709c07af,0.75,True
ebb166892256,0.749,True
acfbd10a4688,0.749,True
7349adb80872,0.748,True
5a2fbfd215d0,0.748,True
47c4fa2a456f,0.748,True
6c67da12df15,0.748,True
1e44d31c57a1,0.748,True
09e3f52f84c0,0.748,True
b352f5ea5fa8,0.747,True
a748182d7851,0.747,True
d87edaef6de0,0.747,True
48be8139f8c6,0.747,True
30e9c4a5e545,0.746,True
a68b910a6753,0.746,True
e02b2ce83949,0.745,True
c260b9922390,0.745,True
bc24a00877e4,0.745,True
75c489023e34,0.745,True
84a9ea6dc7a8,0.745,True
74b8033bcf09,0.745,True
f5132104da6c,0.744,True
28ff9f5f69b3,0.744,True
727d49b43ec4,0.744,True
53c00a3e05b2,0.742,True
aa2f6c121bf2,0.742,True
a6bc97aa8a05,0.742,True
327c2c9be4ad,0.742,True
d717614cdb44,0.742,True
5d0c1da24a0b,0.742,True
58b7ace5a254,0.742,True
904c63b07163,0.741,True
897cc3294e0c,0.741,True
459e4547014e,0.741,True
286f8fc6967b,0.741,True
8c3ea382de47,0.74,True
532c047aec3f,0.74,True
7807699080df,0.74,True
6ac92e92db32,0.74,True
d63742f373bc,0.74,True
845f166209ef,0.739,True
62348316e969,0.739,True
555e992360e6,0.739,True
1087f5953814,0.739,True
bc5a01a59619,0.739,True
4cdae4a3b1da,0.739,True
befb84fb8404,0.739,True
0d59ba5ef53c,0.739,True
7dd0d5914bd0,0.739,True
0d313adf87c4,0.738,True
930036feab97,0.738,True
713d49268536,0.738,True
a6deded8a091,0.738,True
fa8cb9401d81,0.738,True
91f99f366876,0.737,True
5d4130f24274,0.737,True
b9ce95ef3811,0.737,True
cf354abc38e0,0.737,True
8ffce1b5766f,0.737,True
db18c951200a,0.735,True
0002ccc8623e,0.735,True
7a437f84d526,0.735,True
647a8ce11e42,0.735,True
34dc58b0735c,0.735,True
73ea3a9c9e8d,0.735,True
6ecb52bb4411,0.735,True
b1b07ecdddb4,0.735,True
7b664a2c78b7,0.734,True
277de62feaf8,0.734,True
0a3ff7775fef,0.733,True
18ab34d2d74f,0.733,True
60f7cc295040,0.732,True
d3c8f7eade2d,0.732,True
d7c937fe3975,0.732,True
02af4f98d924,0.732,True
e3fa52a551eb,0.732,True
b11c80696863,0.732,True
917e69b09b5d,0.732,True
c2814a818819,0.732,True
471cb1a91b91,0.732,True
87124bfc50fc,0.732,True
b4d6c0a794c4,0.732,True
f8ed2e0ccd97,0.732,True
5421a26605a7,0.732,True
bfa46fb47257,0.731,True
a10f9585f36e,0.731,True
4f44d5e129a1,0.731,True
f7f597ff047d,0.731,True
e58bbcc17540,0.73,True
09d537685e22,0.73,True
05e69159178b,0.73,True
802d5a4ec449,0.73,True
45349b37b91c,0.73,True
79134d57979e,0.73,True
f1e8a4132ea0,0.729,True
a09698ecc5ec,0.729,True
418ed46eb94e,0.729,True
77a42f5b0551,0.729,True
316b194886ce,0.729,True
2cab5b5221b1,0.729,True
cd4ae33a464d,0.729,True
ce2ed541677f,0.729,True
ddd93d308482,0.729,True
a6a1f934bb04,0.729,True
a804cee83b60,0.729,True
52a5e1297738,0.729,True
4f4bc9aa5a15,0.729,True
b52a57ba6774,0.729,True
2ab05785d226,0.729,True
1a5fcc76f6b9,0.729,True
bbd3608decf1,0.729,True
4e0194b19bfc,0.728,True
c0bb99c88e55,0.728,True
22505c7a21d1,0.728,True
07581af39286,0.727,True
af37cf0c3858,0.727,True
150997fdc635,0.727,True
af30ad98a3cc,0.727,True
ab933d0e379c,0.727,True
4bc96b213999,0.727,True
147632f24a54,0.727,True
613b76785e69,0.726,True
05eefb79edcf,0.726,True
6ee8500bcc75,0.726,True
50dc1ab119bf,0.726,True
962a579e1fb2,0.726,True
f98c28e27f4b,0.725,True
112bdacc3216,0.725,True
1d3927501c7f,0.725,True
5909d866e55b,0.725,True
8546df46404c,0.725,True
97746ab81ecd,0.725,True
b64da55c6d88,0.724,True
2204c6891fd9,0.724,True
e4dc7293abbf,0.724,True
9b3b9141980f,0.724,True
e8447c925518,0.724,True
f3f6dce3b32e,0.724,True
03980ce7334a,0.724,True
6479f31f59b0,0.723,True
82e2938ad295,0.723,True
5b14f5e8a458,0.723,True
e0237e6c4410,0.723,True
04ddfbeb31a0,0.722,True
e7128fedf4c2,0.722,True
88cadb7e89a1,0.721,True
b3c86cbac59a,0.721,True
bf0f76cfdd02,0.721,True
48a7f45f9a55,0.721,True
7818792912e5,0.721,True
5b8d65072317,0.721,True
b6f2f8f36ce4,0.721,True
18c6c13d8d1b,0.721,True
aa71c1cb91c9,0.721,True
77e9f5122650,0.721,True
1d5a5efdef00,0.721,True
44e1c222c383,0.721,True
51099921cec5,0.721,True
a006b4132e15,0.721,True
39dbeb86c5a9,0.721,True
eeea578a396a,0.721,True
549942950a07,0.721,True
250113dcbaaa,0.72,True
9fb281a72a5a,0.72,True
46c65970aea0,0.72,True
9b210c719342,0.72,True
c55ab473f46e,0.72,True
abe5261b9b57,0.72,True
5533daa49fcd,0.72,True
cde51cec5dc7,0.719,True
771ea4fb5ce2,0.719,True
c2c1c4f8b143,0.719,True
0cfa741ff564,0.719,True
277cfea00f89,0.719,True
d2982de2e35e,0.719,True
7f7b990f8d49,0.719,True
c371462a5e4e,0.718,True
f6b8d6fa6be3,0.718,True
b2e4f108b479,0.718,True
fcc744bff1e5,0.717,True
1bbf911dbf76,0.717,True
c3c1196550b3,0.717,True
15078639f78c,0.717,True
e0477e0faf1c,0.717,True
5cf85dc640bf,0.717,True
4f88ba31ce0f,0.716,True
d2d7e7d95a76,0.716,True
bea4bbd7fa4f,0.716,True
c05aa536ae13,0.716,True
f4e5eb58cae4,0.716,True
ffe68a86a3a0,0.716,True
cfe8212534ba,0.716,True
24b1cc8826fe,0.715,True
a206f9efe530,0.715,True
de9363e3c50c,0.715,True
7b0190dc27b1,0.715,True
f3becf438768,0.715,True
a8a10edc8383,0.715,True
ffb8a775edc1,0.715,True
6f02f36ae44a,0.714,True
a3fe5f5febab,0.714,True
a10531e9bc9f,0.714,True
a60efb47c081,0.714,True
3c95278b9fb7,0.714,True
6ba05a451582,0.714,True
beef25ef494f,0.714,True
238ea66e8603,0.714,True
f7036467a88f,0.714,True
237aca41c418,0.713,True
b1ff425445da,0.713,True
b9e9ddfe6326,0.713,True
4d49bd124780,0.712,True
4ec53a365696,0.712,True
c73696539989,0.712,True
e04257e2d645,0.712,True
0c9858274204,0.712,True
9ffb18dbd40f,0.712,True
6e1e21f9fb7f,0.712,True
f796cc1fc4f2,0.712,True
65ba55c9101e,0.712,True
798e3e152bc1,0.712,True
138cecdecd3a,0.712,True
e8f136f855f7,0.712,True
8efa22681400,0.712,True
7b782ff7fa5d,0.711,True
4fe58f0290b3,0.711,True
4d8a1923b19c,0.711,True
e0006b974579,0.711,True
74ec2b4754e9,0.711,True
0ecff66192c4,0.71,True
19f2c780789d,0.71,True
f57bf732b0d9,0.71,True
e62bab7ba629,0.709,True
b3fdcb5c1fb9,0.709,True
0df2a51504a5,0.709,True
2630472e7a7e,0.709,True
03e32a197b59,0.709,True
dfbb74ad2233,0.709,True
33d17f333e72,0.709,True
66a729048b2f,0.709,True
2c8dd28174cc,0.708,True
f642a44b035a,0.708,True
236544dc6746,0.708,True
77a724d1f7f2,0.708,True
e4e03064dbba,0.708,True
46f50539424b,0.708,True
66c812588f45,0.708,True
68c57e2781e8,0.708,True
fe3b144c3f4c,0.708,True
2f2e5a590848,0.707,True
3e5024257b0b,0.707,True
f2544d554723,0.707,True
b8e7f3119959,0.707,True
e19a92e83456,0.707,True
dfe1c93c0aa6,0.707,True
4f97815cdd37,0.706,True
0efbf1b2d249,0.705,True
1a1d06547d8f,0.705,True
3ce7343654fe,0.705,True
383ec8692f9a,0.705,True
44be01281380,0.704,True
b516a0c04772,0.704,True
5e30b2a540a7,0.704,True
52cad55545d6,0.704,True
e1ff0447abb7,0.704,True
67e9f26761b1,0.704,True
f9da3d617812,0.704,True
5a56b63dd55e,0.704,True
90b7f7b4ce84,0.704,True
01d5982cc7d3,0.704,True
ea806b742e2a,0.704,True
177a2737ea8e,0.703,True
dea2aab48e87,0.703,True
1987dea9c646,0.703,True
91801401c23d,0.703,True
562e0e704140,0.703,True
09d9bbf92c3c,0.703,True
acdccc17eee9,0.702,True
653fae9041b1,0.702,True
9bab59f98a08,0.702,True
e64a715444a6,0.702,True
4d09a55d65bc,0.702,True
39adfd944c51,0.701,True
3f4908a7ec25,0.701,True
35b7a2451253,0.701,True
d3bcacced06b,0.701,True
e8796af02d51,0.701,True
eb393c1fcda8,0.701,True
2a0aaf7691e9,0.7,True
d68175e44742,0.7,True
81bee99c1006,0.7,True
e2a66445d4c4,0.7,True
a767c0920e0f,0.7,True
f3a59abec6b4,0.7,True
32f3df2164b4,0.7,True
3c21088cc5fe,0.7,True
15dbd81f35da,0.7,True
132ef58a7dc0,0.7,True
faee0fab99b4,0.7,True
78b289665ac7,0.7,True
63c884a006fd,0.7,True
1ac37c783c4f,0.7,True
0049d896fb65,0.7,True
6b4a2f614288,0.7,True
2dccd5cb72ef,0.7,True
152145cb9c23,0.7,True
707bf277cce8,0.7,True
d60021d5ebdd,0.7,True
2486991bb281,0.7,True
3d24a8637ab9,0.7,True
cca784631c3b,0.7,True
db7b3681dc47,0.7,True
bcbe13a5d037,0.7,True
861b7334f88c,0.7,True
008c7c2ac43f,0.7,True
a65fd52f4e86,0.7,True
c89d18279fe3,0.7,True
6c7f1d34293c,0.7,True
ae5861f4dcca,0.7,True
a5000b978f2c,0.7,True
09e65ad1016d,0.7,True
aaaed45b7d3c,0.7,True
4a5078423028,0.7,True
35fe09848f61,0.7,True
cb2a7af5679c,0.7,True
42bf3ed98050,0.7,True
74bcedeb66e0,0.7,True
0312d3138d55,0.7,True
9a9035331b1c,0.7,True
feadd4346716,0.7,True
990037fd1551,0.7,True
16561d72209a,0.7,True
bef1f1e5bd79,0.7,True
ecfd4cdc4e99,0.7,True
fe82ba05dcf0,0.7,True
8073f6182dde,0.7,True
405290466d72,0.7,True
ef23fde25efe,0.7,True
07acfb1d149d,0.7,True
62692ad8fd25,0.7,True
4003e8470cab,0.7,True
19918c30589f,0.7,True
40ad6f914aeb,0.7,True
c04c959d1011,0.7,True
8a38cea9f274,0.7,True
35d3b99adbe3,0.7,True
40cb5b681ec2,0.7,True
c8a0a742f0c2,0.7,True
e48d5257e6a5,0.7,True
e8ddf975c305,0.7,True
23d3dffaf251,0.7,True
f0372413a164,0.7,True
7ae0ab136765,0.7,True
e35323af681d,0.7,True
b14a2a777559,0.7,True
cd14cc48f4ae,0.7,True
aef0ca1c1ae0,0.7,True
8881ff7a935b,0.7,True
f7c5c6cf9d46,0.7,True
a00114fb8aa3,0.7,True
158044093881,0.7,True
8909ba3afe20,0.7,True
415c6e1b6cff,0.7,True
83ed100b3223,0.7,True
bad417df6cbe,0.7,True
2b7dd978b00e,0.7,True
9c8056395f9d,0.7,True
1d9810b626f5,0.7,True
0615321012bf,0.7,True
cf77d9c5ff88,0.7,True
4bba5e8ebf20,0.7,True
031635c5a45c,0.7,True
221c9adef966,0.7,True
0ad327b65fb4,0.7,True
5a2050c48f3d,0.7,True
bd934db3d9ba,0.7,True
a5c0e3c6a7b3,0.7,True
3d37b539c86c,0.7,True
0cd4d6247b5b,0.7,True
85ecadc4c978,0.7,True
94a127bf50df,0.7,True
aa1639ae5460,0.7,True
720bf62333dc,0.7,True
9fe5ef7d6b25,0.7,True
a9b0233a718b,0.7,True
0b0bf5d64952,0.7,True
22766825105d,0.7,True
8b4f3451df12,0.7,True
d8f3bc875669,0.7,True
3ec08b2a3105,0.7,True
c4a5c9ac4924,0.7,True
6944de99f58d,0.7,True
fe9a49336885,0.7,True
e2f30e4f6f5a,0.7,True
2beeaf3eb291,0.7,True
60679288d568,0.7,True
ebef119df755,0.7,True
3833765a740c,0.7,True
b9edb7d6e705,0.7,True
304f89b50c79,0.7,True
796b630c8a63,0.7,True
ce6a85f1f257,0.7,True
0b41ab69eeb1,0.7,True
57c2ee3c85b4,0.7,True
03dcb2b2acd5,0.7,True
af90b273b4e8,0.7,True
919a6e3d3b7e,0.7,True
0fea7175de3e,0.7,True
ac45a78bf0bb,0.7,True
6d09788b7e52,0.7,True
3de069a394fa,0.7,True
e10ee27b0c56,0.7,True
4d3f6f5b41cf,0.7,True
c4b2e3a59528,0.7,True
51a01ba9a610,0.7,True
d985d19d1d11,0.7,True
869ecd083a4b,0.7,True
5b5f47666126,0.7,True
db13dee16875,0.7,True
3b94e0ab33fe,0.7,True
b189714aed8f,0.7,True
db18c775f546,0.7,True
44facce78306,0.7,True
bf76ce27e5ce,0.7,True
48b5665347c6,0.7,True
e14fa23cb2a0,0.7,True
5124aabfe454,0.7,True
387d830ef8d6,0.7,True
4661945c079f,0.7,True
3e80fedf99fc,0.7,True
0dbbc438815c,0.7,True
c5f03ca5cea1,0.7,True
1f0e516975c1,0.7,True
55a19ba78312,0.7,True
154a87e5c702,0.7,True
cbf14ed95341,0.7,True
cbe9eb22ab5e,0.7,True
8963ada9d3fc,0.7,True
8961ea2f429a,0.7,True
a74911f48f43,0.7,True
8526dd317bb5,0.7,True
053ce72b24d4,0.7,True
fb695fc8a1fc,0.7,True
1efde43403f2,0.699,True
e7075d82cb1a,0.699,True
aa6aa2240ba0,0.699,True
a02e9530dc7e,0.698,True
5b4a7635c5db,0.698,True
96b9d333db0f,0.698,True
866a19168cc6,0.698,True
58dcaceacc9a,0.698,True
5ec02d244413,0.698,True
b6e7bbf4089b,0.698,True
3ef7f3412d95,0.698,True
